month,train_samples,test_samples,threshold,no_trade_band,num_trades,hit_rate,avg_r,max_drawdown_r
2025-04,44,88,0.52,0.0,85.0,0.47058823529411764,-0.058823529411764705,12.0
2025-05,132,88,0.52,0.0,81.0,0.4691358024691358,-0.06172839506172839,11.0
2025-06,220,84,0.52,0.0,75.0,0.5066666666666667,0.013333333333333334,5.0
2025-07,304,92,0.52,0.04,80.0,0.55,0.1,6.0
2025-08,396,84,0.52,0.0,81.0,0.4691358024691358,-0.06172839506172839,13.0
2025-09,480,88,0.52,0.04,68.0,0.5588235294117647,0.11764705882352941,5.0
2025-10,568,92,0.52,0.06,57.0,0.42105263157894735,-0.15789473684210525,13.0
2025-11,660,80,0.52,0.05,53.0,0.5660377358490566,0.1320754716981132,8.0
2025-12,740,88,0.52,0.06,57.0,0.5789473684210527,0.15789473684210525,6.0
2026-01,828,84,0.52,0.07,49.0,0.5510204081632653,0.10204081632653061,4.0
2026-02,912,80,0.52,0.06,48.0,0.5416666666666666,0.08333333333333333,5.0
2026-03,992,32,0.52,0.07,21.0,0.5238095238095238,0.047619047619047616,4.0
